order_date,day_of_week,category,name,price,orders,revenue
2020-01-01T00:00:00.000Z,Wednesday,Classic,Pepperoni Pizza Small,13,16,208
2020-01-01T00:00:00.000Z,Wednesday,Classic,Hawaiian Pizza Medium,16,7,112
2020-01-01T00:00:00.000Z,Wednesday,Classic,Margherita Pizza Extra Large,21,14,294
2020-01-01T00:00:00.000Z,Wednesday,Classic,Margherita Pizza Small,11,20,220
2020-01-01T00:00:00.000Z,Wednesday,Classic,Margherita Pizza Large,18,17,306
2020-01-01T00:00:00.000Z,Wednesday,Classic,Meat Lover's Pizza Small,14,28,392
2020-01-01T00:00:00.000Z,Wednesday,Classic,Meat Lover's Pizza Medium,19,5,95
2020-01-01T00:00:00.000Z,Wednesday,Classic,Hawaiian Pizza Extra Large,24,15,360
2020-01-01T00:00:00.000Z,Wednesday,Classic,Pepperoni Pizza Medium,17,15,272
2020-01-01T00:00:00.000Z,Wednesday,Classic,Pepperoni Pizza Extra Large,24,9,216
2020-01-01T00:00:00.000Z,Wednesday,Classic,Hawaiian Pizza Large,19,4,76
2020-01-01T00:00:00.000Z,Wednesday,Classic,Margherita Pizza Medium,15,15,225
2020-01-01T00:00:00.000Z,Wednesday,Classic,Hawaiian Pizza Small,12,23,276
2020-01-01T00:00:00.000Z,Wednesday,Classic,Pepperoni Pizza Large,20,23,460
2020-01-01T00:00:00.000Z,Wednesday,Classic,Meat Lover's Pizza Extra Large,26,21,546
2020-01-01T00:00:00.000Z,Wednesday,Classic,Meat Lover's Pizza Large,22,5,110
2020-01-01T00:00:00.000Z,Wednesday,Specialty,Buffalo Chicken Pizza Small,13,21,273
2020-01-01T00:00:00.000Z,Wednesday,Specialty,BBQ Chicken Pizza Medium,17,17,289
2020-01-01T00:00:00.000Z,Wednesday,Specialty,Buffalo Chicken Pizza Large,20,16,320
2020-01-01T00:00:00.000Z,Wednesday,Specialty,Buffalo Chicken Pizza Extra Large,24,13,312
2020-01-01T00:00:00.000Z,Wednesday,Specialty,Buffalo Chicken Pizza Medium,17,19,323
2020-01-01T00:00:00.000Z,Wednesday,Specialty,BBQ Chicken Pizza Extra Large,24,32,768
2020-01-01T00:00:00.000Z,Wednesday,Specialty,BBQ Chicken Pizza Large,20,23,460
2020-01-01T00:00:00.000Z,Wednesday,Specialty,BBQ Chicken Pizza Small,13,15,195
2020-01-01T00:00:00.000Z,Wednesday,Vegetarian,Veggie Pizza Large,19,11,209
2020-01-01T00:00:00.000Z,Wednesday,Vegetarian,Veggie Pizza Medium,16,15,240
2020-01-01T00:00:00.000Z,Wednesday,Vegetarian,Veggie Pizza Extra Large,23,7,161
2020-01-01T00:00:00.000Z,Wednesday,Vegetarian,Veggie Pizza Small,12,6,72
2020-01-02T00:00:00.000Z,Thursday,Classic,Margherita Pizza Extra Large,21,74,1617
2020-01-02T00:00:00.000Z,Thursday,Classic,Pepperoni Pizza Small,13,31,403
2020-01-02T00:00:00.000Z,Thursday,Classic,Hawaiian Pizza Large,19,28,532
2020-01-02T00:00:00.000Z,Thursday,Classic,Pepperoni Pizza Extra Large,24,21,504
2020-01-02T00:00:00.000Z,Thursday,Classic,Hawaiian Pizza Medium,16,17,272
2020-01-02T00:00:00.000Z,Thursday,Classic,Margherita Pizza Small,11,68,759
2020-01-02T00:00:00.000Z,Thursday,Classic,Margherita Pizza Large,18,76,1368
2020-01-02T00:00:00.000Z,Thursday,Classic,Pepperoni Pizza Medium,17,69,1173
2020-01-02T00:00:00.000Z,Thursday,Classic,Meat Lover's Pizza Medium,19,57,1121
2020-01-02T00:00:00.000Z,Thursday,Classic,Pepperoni Pizza Large,20,86,1760
2020-01-02T00:00:00.000Z,Thursday,Classic,Meat Lover's Pizza Large,22,27,594
2020-01-02T00:00:00.000Z,Thursday,Classic,Margherita Pizza Medium,15,44,660
2020-01-02T00:00:00.000Z,Thursday,Classic,Hawaiian Pizza Small,12,48,576
2020-01-02T00:00:00.000Z,Thursday,Classic,Hawaiian Pizza Extra Large,24,43,1056
2020-01-02T00:00:00.000Z,Thursday,Classic,Meat Lover's Pizza Extra Large,26,40,1040
2020-01-02T00:00:00.000Z,Thursday,Classic,Meat Lover's Pizza Small,14,48,672
2020-01-02T00:00:00.000Z,Thursday,Specialty,Buffalo Chicken Pizza Small,13,82,1079
2020-01-02T00:00:00.000Z,Thursday,Specialty,BBQ Chicken Pizza Extra Large,24,114,2832
2020-01-02T00:00:00.000Z,Thursday,Specialty,Buffalo Chicken Pizza Large,20,48,960
2020-01-02T00:00:00.000Z,Thursday,Specialty,Buffalo Chicken Pizza Medium,17,81,1411
2020-01-02T00:00:00.000Z,Thursday,Specialty,Buffalo Chicken Pizza Extra Large,24,52,1248
2020-01-02T00:00:00.000Z,Thursday,Specialty,BBQ Chicken Pizza Medium,17,90,1564
