Survey ResponseID,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-demos-state,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair,Q-life-changes,Q-sell-YOUR-data,Q-sell-consumer-data,Q-small-biz-use,Q-census-use,Q-research-society
R_1ou69fj4DQGsVcp,35 - 44 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Iowa,2,2,Less than 5 times per month,Yes,No,Yes,No,No,Lost a job ,No,No,No,No,No
R_2UbJL30HRjK1sdD,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Male,heterosexual (straight),Ohio,2,4+,Less than 5 times per month,No,No,No,No,No,,No,No,No,No,Yes
R_UPXamGKtmf4RVIZ,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Arkansas,1 (just me!),2,Less than 5 times per month,No,No,No,Yes,No,,No,No,No,No,Yes
R_2dYk5auG9Fv5Qve,35 - 44 years,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,heterosexual (straight),Tennessee,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,No,No,No,No,No
R_2aP0GyIR66gSTiR,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Virginia,2,3,Less than 5 times per month,No,No,Yes,No,No,,No,Yes if consumers get part of the profit,I don't know,No,No
R_3HiRrH77MQBmCfY,55 - 64 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),South Dakota,1 (just me!),1 (just me!),Less than 5 times per month,I stopped in the recent past,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes
R_1Y4dGwaFnIeeNeF,35 - 44 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),Pennsylvania,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_A5sbkTmUYGXhO3n,35 - 44 years,No,Asian,High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,South Carolina,2,2,More than 10 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,No
R_cSYS6Hd74hMsYFz,25 - 34 years,Yes,Other,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),Texas,2,2,Less than 5 times per month,No,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_1LBvKYfg8hgoloJ,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Georgia,1 (just me!),4+,Less than 5 times per month,Yes,No,Yes,No,No,Moved place of residence,Yes if I get part of the profit,I don't know,No,I don't know,No
